GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-projet,com.library.model,Book,57,49,0,0,25,16,12,5,12,5
mon-projet,com.library.model,Student,24,29,0,0,11,10,5,5,5,5
mon-projet,com.library.model,Borrow,47,39,0,0,19,12,9,5,9,5
mon-projet,com.library.dao,StudentDAO,201,5,12,0,60,1,13,1,7,1
mon-projet,com.library.dao,BorrowDAO,251,6,8,0,66,3,10,1,6,1
mon-projet,com.library.dao,BookDAO,352,0,22,0,100,0,20,0,9,0
mon-projet,com.library,Main,197,0,14,0,65,0,12,0,2,0
mon-projet,com.library.util,DbConnection,10,8,0,0,3,2,1,1,1,1
mon-projet,com.library.service,BorrowService,10,75,2,8,3,24,3,10,1,7
mon-projet,com.library.service,BookService,44,31,2,0,14,12,2,6,1,6
mon-projet,com.library.service,StudentService,62,37,12,4,18,10,11,5,4,4
